Scenario;Metamodel;Metric;Value
InteractionNode;org.eclipse.bpmn2;number of edges;458
InteractionNode;org.eclipse.bpmn2;hypergraph size;1323.2048172810523
InteractionNode;org.eclipse.bpmn2;hypergraph complexity;2039.0016737454594
InteractionNode;org.eclipse.bpmn2;inter module coupling;52.42442878004087
InteractionNode;org.eclipse.bpmn2;graph cohesion;0.008805468347394582
InteractionNode;mbpmn;number of modules;7
InteractionNode;mbpmn;number of nodes;29
InteractionNode;mbpmn;number of edges;55
InteractionNode;mbpmn;hypergraph size;148.62588931160627
InteractionNode;mbpmn;hypergraph complexity;235.60373172519496
InteractionNode;mbpmn;inter module coupling;44.42792864444607
InteractionNode;mbpmn;graph cohesion;0.05661475957626749
ItemAwareElement;org.eclipse.bpmn2;number of modules;5
ItemAwareElement;org.eclipse.bpmn2;number of nodes;176
ItemAwareElement;org.eclipse.bpmn2;number of edges;458
ItemAwareElement;org.eclipse.bpmn2;hypergraph size;1323.2048172810523
ItemAwareElement;org.eclipse.bpmn2;hypergraph complexity;2039.0016737454594
ItemAwareElement;org.eclipse.bpmn2;inter module coupling;52.42442878004087
ItemAwareElement;org.eclipse.bpmn2;graph cohesion;0.008805468347394587
ItemAwareElement;mbpmn;number of modules;7
ItemAwareElement;mbpmn;number of nodes;46
ItemAwareElement;mbpmn;number of edges;104
ItemAwareElement;mbpmn;hypergraph size;262.49323753389433
ItemAwareElement;mbpmn;hypergraph complexity;443.73328859165736
ItemAwareElement;mbpmn;inter module coupling;79.80078151468041
ItemAwareElement;mbpmn;graph cohesion;0.037565690602631284
LaneSet;org.eclipse.bpmn2;number of modules;5
LaneSet;org.eclipse.bpmn2;number of nodes;176
LaneSet;org.eclipse.bpmn2;number of edges;458
LaneSet;org.eclipse.bpmn2;hypergraph size;1323.2048172810523
LaneSet;org.eclipse.bpmn2;hypergraph complexity;2039.0016737454594
LaneSet;org.eclipse.bpmn2;inter module coupling;52.42442878004087
LaneSet;org.eclipse.bpmn2;graph cohesion;0.008805468347394584
LaneSet;mbpmn;number of modules;12
LaneSet;mbpmn;number of nodes;67
LaneSet;mbpmn;number of edges;164
LaneSet;mbpmn;hypergraph size;415.37966306091556
LaneSet;mbpmn;hypergraph complexity;754.1899333545414
LaneSet;mbpmn;inter module coupling;254.94392777546403
LaneSet;mbpmn;graph cohesion;0.027510061802582156
ParallelGateway;org.eclipse.bpmn2;number of modules;5
ParallelGateway;org.eclipse.bpmn2;number of nodes;176
ParallelGateway;org.eclipse.bpmn2;number of edges;458
ParallelGateway;org.eclipse.bpmn2;hypergraph size;1323.2048172810523
ParallelGateway;org.eclipse.bpmn2;hypergraph complexity;2039.0016737454598
ParallelGateway;org.eclipse.bpmn2;inter module coupling;52.42442878004087
ParallelGateway;org.eclipse.bpmn2;graph cohesion;0.008805468347394584
ParallelGateway;mbpmn;number of modules;7
ParallelGateway;mbpmn;number of nodes;35
ParallelGateway;mbpmn;number of edges;66
ParallelGateway;mbpmn;hypergraph size;187.5403211626422
ParallelGateway;mbpmn;hypergraph complexity;285.55859106905336
ParallelGateway;mbpmn;inter module coupling;45.22301167559618
ParallelGateway;mbpmn;graph cohesion;0.04478387387948711
ParticipantAssociation;org.eclipse.bpmn2;number of modules;5
ParticipantAssociation;org.eclipse.bpmn2;number of nodes;176
ParticipantAssociation;org.eclipse.bpmn2;number of edges;458
