Mode;Model;Resource;Metamodel;Util
Full;31;31.bpmn;mbpmn;0.5841584158415841
Full;32;32.bpmn;org.eclipse.bpmn2;0.391025641025641
Full;32;32.bpmn;mbpmn;0.5344827586206896
Full;33;33.bpmn;org.eclipse.bpmn2;0.3782051282051282
Full;33;33.bpmn;mbpmn;0.5309734513274337
Full;34;34.bpmn;org.eclipse.bpmn2;0.3333333333333333
Full;34;34.bpmn;mbpmn;0.5408163265306123
Full;35;35.bpmn;org.eclipse.bpmn2;0.30128205128205127
Full;35;35.bpmn;mbpmn;0.5052631578947369
Full;36;36.bpmn;org.eclipse.bpmn2;0.3141025641025641
Full;36;36.bpmn;mbpmn;0.5434782608695652
Full;37;37.bpmn;org.eclipse.bpmn2;0.3525641025641026
Full;37;37.bpmn;mbpmn;0.5714285714285714
Full;38;38.bpmn;org.eclipse.bpmn2;0.3333333333333333
Full;38;38.bpmn;mbpmn;0.5247524752475248
Full;39;39.bpmn;org.eclipse.bpmn2;0.3141025641025641
Full;39;39.bpmn;mbpmn;0.5434782608695652
Full;3_56a29c753e8648b7aa9c4715e6471363.bpmn;3_56a29c753e8648b7aa9c4715e6471363.bpmn;org.eclipse.bpmn2;0.28205128205128205
Full;3_56a29c753e8648b7aa9c4715e6471363.bpmn;3_56a29c753e8648b7aa9c4715e6471363.bpmn;mbpmn;0.5172413793103449
Full;4;4.bpmn;org.eclipse.bpmn2;0.3525641025641026
Full;4;4.bpmn;mbpmn;0.5714285714285714
Full;4._Schufascoring_ab3591e0a0ad4280b33f60e7cf710988.bpmn;4._Schufascoring_ab3591e0a0ad4280b33f60e7cf710988.bpmn;org.eclipse.bpmn2;0.3717948717948718
Full;4._Schufascoring_ab3591e0a0ad4280b33f60e7cf710988.bpmn;4._Schufascoring_ab3591e0a0ad4280b33f60e7cf710988.bpmn;mbpmn;0.5363636363636364
Full;40;40.bpmn;org.eclipse.bpmn2;0.3141025641025641
Full;40;40.bpmn;mbpmn;0.5434782608695652
Full;41;41.bpmn;org.eclipse.bpmn2;0.3141025641025641
Full;41;41.bpmn;mbpmn;0.5102040816326531
Full;43;43.bpmn;org.eclipse.bpmn2;0.3333333333333333
Full;43;43.bpmn;mbpmn;0.5408163265306123
Full;44;44.bpmn;org.eclipse.bpmn2;0.36538461538461536
Full;44;44.bpmn;mbpmn;0.5321100917431193
Full;45;45.bpmn;org.eclipse.bpmn2;0.391025641025641
Full;45;45.bpmn;mbpmn;0.5486725663716814
Full;46;46.bpmn;org.eclipse.bpmn2;0.358974358974359
Full;46;46.bpmn;mbpmn;0.5643564356435643
Full;47;47.bpmn;org.eclipse.bpmn2;0.33974358974358976
Full;47;47.bpmn;mbpmn;0.5869565217391305
Full;48;48.bpmn;org.eclipse.bpmn2;0.33974358974358976
Full;48;48.bpmn;mbpmn;0.5869565217391305
Full;49;49.bpmn;org.eclipse.bpmn2;0.391025641025641
Full;49;49.bpmn;mbpmn;0.5254237288135594
Full;5;5.bpmn;org.eclipse.bpmn2;0.3525641025641026
Full;5;5.bpmn;mbpmn;0.5714285714285714
Full;5._Selbstbedienungsrestaurant_8360972545fd4ec983f0e99db7b83cd3.bpmn;5._Selbstbedienungsrestaurant_8360972545fd4ec983f0e99db7b83cd3.bpmn;org.eclipse.bpmn2;0.3333333333333333
Full;5._Selbstbedienungsrestaurant_8360972545fd4ec983f0e99db7b83cd3.bpmn;5._Selbstbedienungsrestaurant_8360972545fd4ec983f0e99db7b83cd3.bpmn;mbpmn;0.5578947368421052
Full;5._Selbstbedienungsrestaurant_f65c8daf16aa41999a24ad6339e1ec8a.bpmn;5._Selbstbedienungsrestaurant_f65c8daf16aa41999a24ad6339e1ec8a.bpmn;org.eclipse.bpmn2;0.3141025641025641
