Scenario;Metamodel;Metric;Value
ParallelGateway (1);mbpmn;hypergraph complexity;285.55859106905336
ParallelGateway (1);mbpmn;inter module coupling;45.22301167559618
ParallelGateway (1);mbpmn;graph cohesion;0.04478387387948711
ParticipantAssociation (1);org.eclipse.bpmn2;number of modules;5
ParticipantAssociation (1);org.eclipse.bpmn2;number of nodes;176
ParticipantAssociation (1);org.eclipse.bpmn2;number of edges;458
ParticipantAssociation (1);org.eclipse.bpmn2;hypergraph size;1323.2048172810523
ParticipantAssociation (1);org.eclipse.bpmn2;hypergraph complexity;2039.0016737454603
ParticipantAssociation (1);org.eclipse.bpmn2;inter module coupling;52.4244287800409
ParticipantAssociation (1);org.eclipse.bpmn2;graph cohesion;0.008805468347394587
ParticipantAssociation (1);mbpmn;number of modules;12
ParticipantAssociation (1);mbpmn;number of nodes;46
ParticipantAssociation (1);mbpmn;number of edges;94
ParticipantAssociation (1);mbpmn;hypergraph size;262.49323753389433
ParticipantAssociation (1);mbpmn;hypergraph complexity;452.3446176302516
ParticipantAssociation (1);mbpmn;inter module coupling;146.2825799334916
ParticipantAssociation (1);mbpmn;graph cohesion;0.03829471078357826
PotentialOwner (1);org.eclipse.bpmn2;number of modules;5
PotentialOwner (1);org.eclipse.bpmn2;number of nodes;176
PotentialOwner (1);org.eclipse.bpmn2;number of edges;458
PotentialOwner (1);org.eclipse.bpmn2;hypergraph size;1323.2048172810523
PotentialOwner (1);org.eclipse.bpmn2;hypergraph complexity;2039.001673745459
PotentialOwner (1);org.eclipse.bpmn2;inter module coupling;52.42442878004087
PotentialOwner (1);org.eclipse.bpmn2;graph cohesion;0.008805468347394587
PotentialOwner (1);mbpmn;number of modules;9
PotentialOwner (1);mbpmn;number of nodes;35
PotentialOwner (1);mbpmn;number of edges;62
PotentialOwner (1);mbpmn;hypergraph size;187.5403211626422
PotentialOwner (1);mbpmn;hypergraph complexity;274.8464783411496
PotentialOwner (1);mbpmn;inter module coupling;50.9121626734339
PotentialOwner (1);mbpmn;graph cohesion;0.04310390374238387
Relationship (1);org.eclipse.bpmn2;number of modules;5
Relationship (1);org.eclipse.bpmn2;number of nodes;176
Relationship (1);org.eclipse.bpmn2;number of edges;458
Relationship (1);org.eclipse.bpmn2;hypergraph size;1323.2048172810523
Relationship (1);org.eclipse.bpmn2;hypergraph complexity;2039.0016737454594
Relationship (1);org.eclipse.bpmn2;inter module coupling;52.42442878004087
Relationship (1);org.eclipse.bpmn2;graph cohesion;0.008805468347394584
Relationship (1);mbpmn;number of modules;7
Relationship (1);mbpmn;number of nodes;50
Relationship (1);mbpmn;number of edges;124
Relationship (1);mbpmn;hypergraph size;290.7224256251957
Relationship (1);mbpmn;hypergraph complexity;455.0294131299263
Relationship (1);mbpmn;inter module coupling;74.26519356679611
Relationship (1);mbpmn;graph cohesion;0.031942202372939904
Rendering (1);org.eclipse.bpmn2;number of modules;5
Rendering (1);org.eclipse.bpmn2;number of nodes;176
Rendering (1);org.eclipse.bpmn2;number of edges;458
Rendering (1);org.eclipse.bpmn2;hypergraph size;1323.2048172810523
Rendering (1);org.eclipse.bpmn2;hypergraph complexity;2039.0016737454594
Rendering (1);org.eclipse.bpmn2;inter module coupling;52.42442878004087
Rendering (1);org.eclipse.bpmn2;graph cohesion;0.008805468347394582
Rendering (1);mbpmn;number of modules;11
Rendering (1);mbpmn;number of nodes;72
Rendering (1);mbpmn;number of edges;163
Rendering (1);mbpmn;hypergraph size;453.2900956909133
Rendering (1);mbpmn;hypergraph complexity;743.0666413399139
Rendering (1);mbpmn;inter module coupling;209.8931499149923
Rendering (1);mbpmn;graph cohesion;0.0230883653587525
ResourceAssignmentExpression (1);org.eclipse.bpmn2;number of modules;5
ResourceAssignmentExpression (1);org.eclipse.bpmn2;number of nodes;176
ResourceAssignmentExpression (1);org.eclipse.bpmn2;number of edges;458
ResourceAssignmentExpression (1);org.eclipse.bpmn2;hypergraph size;1323.2048172810523
ResourceAssignmentExpression (1);org.eclipse.bpmn2;hypergraph complexity;2039.0016737454603
ResourceAssignmentExpression (1);org.eclipse.bpmn2;inter module coupling;52.42442878004087
ResourceAssignmentExpression (1);org.eclipse.bpmn2;graph cohesion;0.008805468347394582
ResourceAssignmentExpression (1);mbpmn;number of modules;8
ResourceAssignmentExpression (1);mbpmn;number of nodes;33
ResourceAssignmentExpression (1);mbpmn;number of edges;60
ResourceAssignmentExpression (1);mbpmn;hypergraph size;174.39562257612886
ResourceAssignmentExpression (1);mbpmn;hypergraph complexity;269.41575216856404
ResourceAssignmentExpression (1);mbpmn;inter module coupling;53.79843643469508
ResourceAssignmentExpression (1);mbpmn;graph cohesion;0.04827668338746506
RootElement (1);org.eclipse.bpmn2;number of modules;5
RootElement (1);org.eclipse.bpmn2;number of nodes;176
RootElement (1);org.eclipse.bpmn2;number of edges;458
RootElement (1);org.eclipse.bpmn2;hypergraph size;1323.2048172810523
RootElement (1);org.eclipse.bpmn2;hypergraph complexity;2039.0016737454598
RootElement (1);org.eclipse.bpmn2;inter module coupling;52.42442878004087
RootElement (1);org.eclipse.bpmn2;graph cohesion;0.008805468347394584
RootElement (1);mbpmn;number of modules;5
RootElement (1);mbpmn;number of nodes;24
RootElement (1);mbpmn;number of edges;46
RootElement (1);mbpmn;hypergraph size;117.5109929535273
RootElement (1);mbpmn;hypergraph complexity;206.7899573688823
RootElement (1);mbpmn;inter module coupling;41.34524863080341
RootElement (1);mbpmn;graph cohesion;0.07651086494730074
SequenceFlow (1);org.eclipse.bpmn2;number of modules;5
SequenceFlow (1);org.eclipse.bpmn2;number of nodes;176
SequenceFlow (1);org.eclipse.bpmn2;number of edges;458
SequenceFlow (1);org.eclipse.bpmn2;hypergraph size;1323.2048172810523
SequenceFlow (1);org.eclipse.bpmn2;hypergraph complexity;2039.0016737454594
SequenceFlow (1);org.eclipse.bpmn2;inter module coupling;52.42442878004087
SequenceFlow (1);org.eclipse.bpmn2;graph cohesion;0.008805468347394584
SequenceFlow (1);mbpmn;number of modules;6
SequenceFlow (1);mbpmn;number of nodes;29
SequenceFlow (1);mbpmn;number of edges;57
SequenceFlow (1);mbpmn;hypergraph size;148.62588931160627
SequenceFlow (1);mbpmn;hypergraph complexity;247.9010980253954
SequenceFlow (1);mbpmn;inter module coupling;47.787206218463126
SequenceFlow (1);mbpmn;graph cohesion;0.05956977404657814
