Mode;Model;Resource;Metamodel;Util
Full;activemq_acdc;AcidTestTool.usagemodel ActiveMQActivationSpecTest.usagemodel ActiveMQAsfEndpointWorkerTest.usagemodel ActiveMQBytesMessageReaderTest.usagemodel ActiveMQBytesMessageTest.usagemodel ActiveMQDestinationTest.usagemodel ActiveMQInitialContextFactoryTest.usagemodel ActiveMQMapMessageReaderTest.usagemodel ActiveMQMapMessageTest.usagemodel ActiveMQMessageAuditTest.usagemodel ActiveMQMessageReaderTest.usagemodel ActiveMQMessageTest.usagemodel ActiveMQObjectMessageReaderTest.usagemodel ActiveMQObjectMessageTest.usagemodel ActiveMQResourceAdapterJavaBeanEqualityTest.usagemodel ActiveMQStreamMessageReaderTest.usagemodel ActiveMQStreamMessageTest.usagemodel ActiveMQTextMessageReaderTest.usagemodel ActiveMQTextMessageTest.usagemodel ActiveMQXidTest.usagemodel AdminObjectTest.usagemodel AdvisorySupportTest.usagemodel AsyncProxyTest.usagemodel AvailableConsumerTest.usagemodel BasicCapacityMonitorTest.usagemodel BecksNetworkTest.usagemodel BitArrayBinTest.usagemodel BitArrayTest.usagemodel BoundaryStatisticTest.usagemodel BoundedRangeStatisticTest.usagemodel BrokerAdminCommandsTest.usagemodel BrokerAdminTest.usagemodel ByteArrayCompressionTest.usagemodel ByteArrayFragmentationTest.usagemodel ChangeSentMessageTest.usagemodel ChangeSessionDeliveryModeTest.usagemodel CircularQueueTest.usagemodel CompositeConsumeTest.usagemodel ConfigTest.usagemodel ConnectionAdvisorTest.usagemodel ConnectionCleanupTest.usagemodel ConsumeQueuePrefetchTest.usagemodel ConsumeTopicPrefetchTest.usagemodel ConsumerAdvisorTest.usagemodel ConsumerInfoReaderTest.usagemodel CountStatisticTest.usagemodel CreateTemporaryQueueBeforeStartTest.usagemodel CustomConnectionFactoryNameTest.usagemodel DeadLetterTest.usagemodel DestinationFilterTest.usagemodel DestinationMapTest.usagemodel DestinationNameWithSlashTest.usagemodel DestinationPathTest.usagemodel DiscoveryAgentTestSupport.usagemodel DurableConsumerCloseAndReconnectTest.usagemodel DurableSubscriptionTestSupport.usagemodel ExceptionListenerTest.usagemodel FactoryFinderTest.usagemodel IdGeneratorTest.usagemodel InitialContextTest.usagemodel JCAContainerRequestReplyTest.usagemodel JCAContainerTest.usagemodel JMSInputStreamTest.usagemodel JabberWireFormatTest.usagemodel JmsClientAckTest.usagemodel JmsConnectionStartStopTest.usagemodel JmsCreateConsumerInOnMessageTest.usagemodel JmsDurableSubscriptionTest.usagemodel JmsLogAppenderTest.usagemodel JmsQueueTransactionTest.usagemodel JmsRedeliveredTest.usagemodel JmsSendReceiveTestSupport.usagemodel JmsSessionRecoverTest.usagemodel JmsTempDestinationTest.usagemodel JmsTopicRequestReplyTest.usagemodel JmsTopicRequestorTest.usagemodel JmsTopicSendSameMessageTest.usagemodel JmsTransactionTestSupport.usagemodel JmsXATransactionTestSupport.usagemodel KeepAliveDaemonTest.usagemodel LargeMessageTestSupport.usagemodel LocalTransactionCommandTest.usagemodel ManagedConnectionFactoryTest.usagemodel ManagedConnectionTest.usagemodel MemoryBoundedMessageCacheTest.usagemodel MemoryBoundedQueueTest.usagemodel MessageAckReaderTest.usagemodel MessageContainerTestSupport.usagemodel MessageEndpointProxyTest.usagemodel MessageStoreTestSupport.usagemodel MultiExpressionEvaluatorTest.usagemodel MulticastDiscoveryTransportChannelTest.usagemodel OrderTest.usagemodel PackageFacadeTest.usagemodel PacketTestSupport.usagemodel ParserTest.usagemodel PeerTransportTest.usagemodel PersistenceAdapterTest.usagemodel ProducerAdvisorTest.usagemodel ProducerInfoReaderTest.usagemodel PropertiesConfigLoaderTest.usagemodel QueueBrokerTest.usagemodel QueueDuplicatesTest.usagemodel QueueListTestSupport.usagemodel RESTLoadTest.usagemodel RangeStatisticTest.usagemodel ReceiptReaderTest.usagemodel ReliableReconnectTest.usagemodel ReliableTransportChannelFactoryTest.usagemodel RemoteTransportTest.usagemodel ResourceAdapterTest.usagemodel SelectorParserTest.usagemodel SelectorTest.usagemodel SendReceiveTest.usagemodel SimpleTopicBrokerTest.usagemodel SpringTemplateAndJCAWithEmbeddedBrokerTest.usagemodel SpringTest.usagemodel StartAndStopBrokerTest.usagemodel SubscribeClosePublishThenConsumeTest.usagemodel TempDestinationAdvisorTest.usagemodel TimeStatisticTest.usagemodel TopicBrokerTest.usagemodel TopicClusterTest.usagemodel TopicMessageStoreTestSupport.usagemodel TopicRedeliverTest.usagemodel TransactionInfoReaderTest.usagemodel TransactionTest.usagemodel TransportChannelProviderTest.usagemodel TransportChannelTestSupport.usagemodel URIConverterTest.usagemodel URIHelperTest.usagemodel UdpTransportChannelTest.usagemodel UriParseTest.usagemodel WireFormatLoaderTest.usagemodel WireFormatTestSupport.usagemodel XATransactionCommandTest.usagemodel XATransactionInfoReaderTest.usagemodel XATransactionTest.usagemodel XStreamWireFormatTest.usagemodel ZeroconfDiscoveryTest.usagemodel activemq-3.0_acdc_clustered.repository activemq-3.0_acdc_clustered.system;PCM;0.3251231527093596
Full;activemq_acdc;AcidTestTool.usagemodel ActiveMQActivationSpecTest.usagemodel ActiveMQAsfEndpointWorkerTest.usagemodel ActiveMQBytesMessageReaderTest.usagemodel ActiveMQBytesMessageTest.usagemodel ActiveMQDestinationTest.usagemodel ActiveMQInitialContextFactoryTest.usagemodel ActiveMQMapMessageReaderTest.usagemodel ActiveMQMapMessageTest.usagemodel ActiveMQMessageAuditTest.usagemodel ActiveMQMessageReaderTest.usagemodel ActiveMQMessageTest.usagemodel ActiveMQObjectMessageReaderTest.usagemodel ActiveMQObjectMessageTest.usagemodel ActiveMQResourceAdapterJavaBeanEqualityTest.usagemodel ActiveMQStreamMessageReaderTest.usagemodel ActiveMQStreamMessageTest.usagemodel ActiveMQTextMessageReaderTest.usagemodel ActiveMQTextMessageTest.usagemodel ActiveMQXidTest.usagemodel AdminObjectTest.usagemodel AdvisorySupportTest.usagemodel AsyncProxyTest.usagemodel AvailableConsumerTest.usagemodel BasicCapacityMonitorTest.usagemodel BecksNetworkTest.usagemodel BitArrayBinTest.usagemodel BitArrayTest.usagemodel BoundaryStatisticTest.usagemodel BoundedRangeStatisticTest.usagemodel BrokerAdminCommandsTest.usagemodel BrokerAdminTest.usagemodel ByteArrayCompressionTest.usagemodel ByteArrayFragmentationTest.usagemodel ChangeSentMessageTest.usagemodel ChangeSessionDeliveryModeTest.usagemodel CircularQueueTest.usagemodel CompositeConsumeTest.usagemodel ConfigTest.usagemodel ConnectionAdvisorTest.usagemodel ConnectionCleanupTest.usagemodel ConsumeQueuePrefetchTest.usagemodel ConsumeTopicPrefetchTest.usagemodel ConsumerAdvisorTest.usagemodel ConsumerInfoReaderTest.usagemodel CountStatisticTest.usagemodel CreateTemporaryQueueBeforeStartTest.usagemodel CustomConnectionFactoryNameTest.usagemodel DeadLetterTest.usagemodel DestinationFilterTest.usagemodel DestinationMapTest.usagemodel DestinationNameWithSlashTest.usagemodel DestinationPathTest.usagemodel DiscoveryAgentTestSupport.usagemodel DurableConsumerCloseAndReconnectTest.usagemodel DurableSubscriptionTestSupport.usagemodel ExceptionListenerTest.usagemodel FactoryFinderTest.usagemodel IdGeneratorTest.usagemodel InitialContextTest.usagemodel JCAContainerRequestReplyTest.usagemodel JCAContainerTest.usagemodel JMSInputStreamTest.usagemodel JabberWireFormatTest.usagemodel JmsClientAckTest.usagemodel JmsConnectionStartStopTest.usagemodel JmsCreateConsumerInOnMessageTest.usagemodel JmsDurableSubscriptionTest.usagemodel JmsLogAppenderTest.usagemodel JmsQueueTransactionTest.usagemodel JmsRedeliveredTest.usagemodel JmsSendReceiveTestSupport.usagemodel JmsSessionRecoverTest.usagemodel JmsTempDestinationTest.usagemodel JmsTopicRequestReplyTest.usagemodel JmsTopicRequestorTest.usagemodel JmsTopicSendSameMessageTest.usagemodel JmsTransactionTestSupport.usagemodel JmsXATransactionTestSupport.usagemodel KeepAliveDaemonTest.usagemodel LargeMessageTestSupport.usagemodel LocalTransactionCommandTest.usagemodel ManagedConnectionFactoryTest.usagemodel ManagedConnectionTest.usagemodel MemoryBoundedMessageCacheTest.usagemodel MemoryBoundedQueueTest.usagemodel MessageAckReaderTest.usagemodel MessageContainerTestSupport.usagemodel MessageEndpointProxyTest.usagemodel MessageStoreTestSupport.usagemodel MultiExpressionEvaluatorTest.usagemodel MulticastDiscoveryTransportChannelTest.usagemodel OrderTest.usagemodel PackageFacadeTest.usagemodel PacketTestSupport.usagemodel ParserTest.usagemodel PeerTransportTest.usagemodel PersistenceAdapterTest.usagemodel ProducerAdvisorTest.usagemodel ProducerInfoReaderTest.usagemodel PropertiesConfigLoaderTest.usagemodel QueueBrokerTest.usagemodel QueueDuplicatesTest.usagemodel QueueListTestSupport.usagemodel RESTLoadTest.usagemodel RangeStatisticTest.usagemodel ReceiptReaderTest.usagemodel ReliableReconnectTest.usagemodel ReliableTransportChannelFactoryTest.usagemodel RemoteTransportTest.usagemodel ResourceAdapterTest.usagemodel SelectorParserTest.usagemodel SelectorTest.usagemodel SendReceiveTest.usagemodel SimpleTopicBrokerTest.usagemodel SpringTemplateAndJCAWithEmbeddedBrokerTest.usagemodel SpringTest.usagemodel StartAndStopBrokerTest.usagemodel SubscribeClosePublishThenConsumeTest.usagemodel TempDestinationAdvisorTest.usagemodel TimeStatisticTest.usagemodel TopicBrokerTest.usagemodel TopicClusterTest.usagemodel TopicMessageStoreTestSupport.usagemodel TopicRedeliverTest.usagemodel TransactionInfoReaderTest.usagemodel TransactionTest.usagemodel TransportChannelProviderTest.usagemodel TransportChannelTestSupport.usagemodel URIConverterTest.usagemodel URIHelperTest.usagemodel UdpTransportChannelTest.usagemodel UriParseTest.usagemodel WireFormatLoaderTest.usagemodel WireFormatTestSupport.usagemodel XATransactionCommandTest.usagemodel XATransactionInfoReaderTest.usagemodel XATransactionTest.usagemodel XStreamWireFormatTest.usagemodel ZeroconfDiscoveryTest.usagemodel activemq-3.0_acdc_clustered.repository activemq-3.0_acdc_clustered.system;mPCM;0.5203252032520326
Single;activemq_acdc;AcidTestTool.usagemodel;PCM;0.07881773399014778
Single;activemq_acdc;AcidTestTool.usagemodel;mPCM;0.3018867924528302
Single;activemq_acdc;ActiveMQActivationSpecTest.usagemodel;PCM;0.08374384236453201
Single;activemq_acdc;ActiveMQActivationSpecTest.usagemodel;mPCM;0.32075471698113206
Single;activemq_acdc;ActiveMQAsfEndpointWorkerTest.usagemodel;PCM;0.06403940886699508
Single;activemq_acdc;ActiveMQAsfEndpointWorkerTest.usagemodel;mPCM;0.24528301886792453
Single;activemq_acdc;ActiveMQBytesMessageReaderTest.usagemodel;PCM;0.07881773399014778
Single;activemq_acdc;ActiveMQBytesMessageReaderTest.usagemodel;mPCM;0.3018867924528302
